,atype,batch_size,dropout_rate,hidden_layers,hidden_n0,hidden_n1,iters,learning_rate,lookback,loss,max_epochs,mtype,n_outputs,neurons_n0,neurons_n1,patience,predictor,td_neurons,weights_0,weights_1,weights_2,weights_3,epochs,train_loss,train_f1,train_acc,val_loss,val_f1,val_acc
0,ENDE,512,0.2,2,25,45,1,0.001,23,False,50,GRU,1,45,5,30,behavior,35,2.0,1,2,3,50.0,0.7048482894897461,0.4241175949573517,0.8179853558540344,0.583420991897583,0.43008336424827576,0.8836923241615295
1,ENDE,512,0.8,1,25,10,1,0.001,10,False,50,GRU,1,25,40,30,behavior,5,5.0,1,4,5,50.0,1.0956017971038818,0.39892998337745667,0.7757063508033752,0.585048496723175,0.41582557559013367,0.8599408864974976
2,ENDE,512,0.8,2,20,20,1,0.001,22,False,50,GRU,1,25,25,30,behavior,35,3.0,1,22,1,50.0,0.9373024106025696,0.3280412256717682,0.7582777142524719,0.638653039932251,0.342131108045578,0.8841660618782043
3,ENDE,512,0.6000000000000001,1,35,30,1,0.001,12,False,50,GRU,1,20,10,30,behavior,40,3.0,1,2,6,50.0,0.9527524709701538,0.4166204035282135,0.7809492349624634,0.5739454627037048,0.42671525478363037,0.8579445481300354
4,ENDE,512,0.9,0,35,40,1,0.001,19,False,50,GRU,1,15,40,30,behavior,30,5.0,1,12,1,50.0,0.9789984822273254,0.3766087293624878,0.8018201589584351,0.5976906418800354,0.4089175760746002,0.8786643743515015
5,ENDE,512,0.8,2,10,20,1,0.001,21,False,50,GRU,1,20,35,30,behavior,5,4.0,1,4,10,50.0,1.346112608909607,0.2756704092025757,0.6614356637001038,0.6457803845405579,0.3425362706184387,0.8798917531967163
6,ENDE,512,0.2,1,10,25,1,0.001,4,False,50,GRU,1,20,5,30,behavior,10,3.0,1,5,2,50.0,0.8088212013244629,0.4148537218570709,0.765619158744812,0.582139253616333,0.4182756245136261,0.8346903920173645
7,ENDE,512,0.2,0,20,45,1,0.001,20,False,50,GRU,1,40,25,30,behavior,15,5.0,1,25,7,50.0,1.219990849494934,0.4328369200229645,0.8017789125442505,0.5954392552375793,0.40486183762550354,0.8740608096122742
8,ENDE,512,0.8,1,35,25,1,0.001,6,False,50,GRU,1,20,25,30,behavior,20,4.5,1,19,9,50.0,1.3702514171600342,0.39602071046829224,0.7505895495414734,0.5789771676063538,0.4227345585823059,0.8473277688026428
9,ENDE,512,0.5,1,10,25,1,0.001,13,False,50,GRU,1,40,45,30,behavior,35,3.0,1,10,7,50.0,1.0741333961486816,0.4057570993900299,0.7847487926483154,0.5687369704246521,0.431438148021698,0.8604505062103271
10,ENDE,512,0.1,0,45,25,1,0.001,20,False,50,GRU,1,20,35,30,behavior,30,1.5,1,16,6,50.0,0.8741467595100403,0.43349528312683105,0.8019483089447021,0.5948764681816101,0.4062637984752655,0.8742397427558899
11,ENDE,512,0.4,1,35,5,1,0.001,19,False,50,GRU,1,40,20,30,behavior,15,2.5,1,9,8,50.0,0.9660005569458008,0.43182939291000366,0.7871860265731812,0.582849383354187,0.42071086168289185,0.8643988370895386
12,ENDE,512,0.2,2,30,25,1,0.001,9,False,50,GRU,1,30,45,30,behavior,40,2.5,1,5,7,15.0,0.9530814290046692,0.42056676745414734,0.7764915227890015,0.5734062790870667,0.42675068974494934,0.8515777587890625
13,ENDE,512,0.5,2,45,25,1,0.001,18,False,50,GRU,1,10,20,30,behavior,10,2.5,1,13,4,50.0,0.867684543132782,0.4149886667728424,0.7893192172050476,0.5805686712265015,0.40608522295951843,0.8697350025177002
14,ENDE,512,0.4,0,35,30,1,0.001,13,False,50,GRU,1,20,15,30,behavior,25,4.5,1,9,5,50.0,1.0114394426345825,0.4224027991294861,0.7835270762443542,0.5675432682037354,0.43276798725128174,0.8601812720298767
15,ENDE,512,0.9,1,35,20,1,0.001,22,False,50,GRU,1,25,35,30,behavior,30,2.5,1,5,4,50.0,0.9062718152999878,0.3178236186504364,0.7105627655982971,0.6372333765029907,0.3424544930458069,0.8849117755889893
16,ENDE,512,0.7000000000000001,0,10,10,1,0.001,4,False,50,GRU,1,45,40,30,behavior,15,2.5,1,3,7,50.0,0.9618343710899353,0.41763216257095337,0.7665749788284302,0.581504225730896,0.4188300669193268,0.8345811367034912
17,ENDE,512,0.30000000000000004,0,30,40,1,0.001,9,False,50,GRU,1,20,45,30,behavior,30,3.0,1,6,8,50.0,1.0713112354278564,0.4218018352985382,0.7773054838180542,0.5732840299606323,0.42675068974494934,0.8515777587890625
18,ENDE,512,0.1,2,25,30,1,0.001,14,False,50,GRU,1,10,35,30,behavior,45,5.0,1,21,7,50.0,1.2425671815872192,0.4240590035915375,0.784586489200592,0.5693514943122864,0.42971929907798767,0.8626787662506104
19,ENDE,512,0.9,0,25,25,1,0.001,18,False,50,GRU,1,35,45,30,behavior,40,2.0,1,17,2,50.0,0.8255237936973572,0.4076746106147766,0.7916799783706665,0.5781582593917847,0.4060976207256317,0.869316577911377
20,ENDE,512,0.5,1,50,35,1,0.001,16,False,50,GRU,1,50,15,30,behavior,50,4.0,1,9,5,50.0,0.9895481467247009,0.43184661865234375,0.7819791436195374,0.5746595859527588,0.42670392990112305,0.8560009002685547
21,ENDE,512,0.4,1,5,35,1,0.001,15,False,50,GRU,1,35,15,30,behavior,25,4.0,1,9,4,50.0,0.997593879699707,0.4026516377925873,0.7693095207214355,0.5786486268043518,0.42589709162712097,0.8637981414794922
22,ENDE,512,0.6000000000000001,0,40,15,1,0.001,12,False,50,GRU,1,5,10,30,behavior,25,3.5,1,12,10,50.0,1.2386913299560547,0.40343934297561646,0.7806931138038635,0.5803953409194946,0.4203597605228424,0.8641427159309387
23,ENDE,512,0.4,1,20,35,1,0.001,7,False,50,GRU,1,30,30,30,behavior,20,4.5,1,14,6,50.0,1.1189815998077393,0.4219343364238739,0.7726512551307678,0.5751833915710449,0.4210621118545532,0.8439208269119263
24,ENDE,512,0.6000000000000001,1,15,15,1,0.001,1,False,50,GRU,1,50,50,30,behavior,35,1.0,1,8,8,50.0,1.013758897781372,0.40497931838035583,0.7471285462379456,0.576143205165863,0.42390838265419006,0.827469527721405
25,ENDE,512,0.30000000000000004,0,40,30,1,0.001,14,False,50,GRU,1,35,15,30,behavior,50,3.5,1,11,5,50.0,0.9485375881195068,0.4265314042568207,0.7781855463981628,0.5715681910514832,0.42736735939979553,0.8563973903656006
26,ENDE,512,0.30000000000000004,1,15,50,1,0.001,11,False,50,GRU,1,15,50,30,behavior,25,3.5,1,7,9,50.0,1.1188400983810425,0.4231850206851959,0.7809051871299744,0.5716351270675659,0.42851927876472473,0.8558976054191589
27,ENDE,512,0.5,0,5,40,1,0.001,16,False,50,GRU,1,45,20,30,behavior,45,4.5,1,15,3,50.0,0.9517561197280884,0.4286216199398041,0.7891936302185059,0.5760543346405029,0.4254086911678314,0.865136444568634
28,ENDE,512,0.4,1,40,15,1,0.001,13,False,50,GRU,1,40,5,30,behavior,35,1.5,1,11,3,50.0,0.7396709322929382,0.42245474457740784,0.7836847305297852,0.5675682425498962,0.4327429533004761,0.860001802444458
29,ENDE,512,0.4,2,50,15,1,0.001,8,False,50,GRU,1,30,5,30,behavior,20,1.0,1,1,3,50.0,0.6735113859176636,0.41986915469169617,0.7738325595855713,0.5739395618438721,0.42666730284690857,0.8482042551040649
