,model,mean,sd,median,mad,lci95,uci95,lci90,uci90,lci80,uci80,lci50,uci50
train_f1,tester,0.4182711644606157,0.020673191837226122,0.4218149483203888,0.012705028667922846,0.3378819525241852,0.44267192482948303,0.3911382853984833,0.44216790795326233,0.3969235122203827,0.43449828028678894,0.4149819314479828,0.42858201265335083
train_acc,tester,0.7787796367298473,0.015361079777071707,0.7750982046127319,0.012581863482136371,0.7587578892707825,0.8179853558540344,0.7592501640319824,0.8063176870346069,0.760970413684845,0.7997087836265564,0.764671802520752,0.7892246246337891
val_loss,tester,0.5800822691483931,0.011512819618676085,0.5766039490699768,0.006649113568392668,0.571350634098053,0.6135788559913635,0.5715362429618835,0.5885336399078369,0.5723994374275208,0.5883706212043762,0.5739613771438599,0.5832161903381348
val_f1,tester,0.42158986926078795,0.014559599147247249,0.42449939250946045,0.006532512578097262,0.40181323885917664,0.4325687885284424,0.4118216335773468,0.42918023467063904,0.4118216335773468,0.4277085065841675,0.42052754759788513,0.42726531624794006
